partij,type,medium,days,gezien,waardering
GL & Jesse Klaver,Zwevend,Krant,Regelmatig,1.57,5.4
GL & Jesse Klaver,Zwevend,Krant,Vaak,1.65,5.42
GL & Jesse Klaver,Zwevend,Socials,Nauwelijks,1.45,5.31
GL & Jesse Klaver,Zwevend,Socials,Regelmatig,1.62,5.49
GL & Jesse Klaver,Zwevend,Socials,Vaak,1.58,5.66
GL & Jesse Klaver,Zwevend,TV,Nauwelijks,1.23,4.8
GL & Jesse Klaver,Zwevend,TV,Regelmatig,1.77,5.92
GL & Jesse Klaver,Zwevend,TV,Vaak,1.54,5.5
PvdA & Lilianne Ploumen,Coalitievoorkeur,Krant,Nauwelijks,1.34,6.1
PvdA & Lilianne Ploumen,Coalitievoorkeur,Krant,Regelmatig,1.46,6.28
PvdA & Lilianne Ploumen,Coalitievoorkeur,Krant,Vaak,1.65,6.14
PvdA & Lilianne Ploumen,Coalitievoorkeur,Socials,Nauwelijks,1.47,6.15
PvdA & Lilianne Ploumen,Coalitievoorkeur,Socials,Regelmatig,1.47,6.1
PvdA & Lilianne Ploumen,Coalitievoorkeur,Socials,Vaak,1.56,6.17
PvdA & Lilianne Ploumen,Coalitievoorkeur,TV,Nauwelijks,1.07,5.8
PvdA & Lilianne Ploumen,Coalitievoorkeur,TV,Regelmatig,1.35,6.03
PvdA & Lilianne Ploumen,Coalitievoorkeur,TV,Vaak,1.66,6.23
PvdA & Lilianne Ploumen,Niet stemmer,Krant,Nauwelijks,0.54,4.86
PvdA & Lilianne Ploumen,Niet stemmer,Krant,Regelmatig,0.72,7
PvdA & Lilianne Ploumen,Niet stemmer,Krant,Vaak,0.53,4
PvdA & Lilianne Ploumen,Niet stemmer,Socials,Nauwelijks,0.52,4.64
PvdA & Lilianne Ploumen,Niet stemmer,Socials,Regelmatig,0.62,6
PvdA & Lilianne Ploumen,Niet stemmer,Socials,Vaak,0.87,7
PvdA & Lilianne Ploumen,Niet stemmer,TV,Nauwelijks,0.41,4
PvdA & Lilianne Ploumen,Niet stemmer,TV,Regelmatig,0.67,5
PvdA & Lilianne Ploumen,Niet stemmer,TV,Vaak,0.85,5.67
PvdA & Lilianne Ploumen,Partijvoorkeur,Krant,Nauwelijks,1.28,5.96
PvdA & Lilianne Ploumen,Partijvoorkeur,Krant,Regelmatig,1.42,6.24
PvdA & Lilianne Ploumen,Partijvoorkeur,Krant,Vaak,1.59,6.02
PvdA & Lilianne Ploumen,Partijvoorkeur,Socials,Nauwelijks,1.4,6.03
PvdA & Lilianne Ploumen,Partijvoorkeur,Socials,Regelmatig,1.42,6
PvdA & Lilianne Ploumen,Partijvoorkeur,Socials,Vaak,1.52,6.09
PvdA & Lilianne Ploumen,Partijvoorkeur,TV,Nauwelijks,0.98,5.67
PvdA & Lilianne Ploumen,Partijvoorkeur,TV,Regelmatig,1.32,5.97
PvdA & Lilianne Ploumen,Partijvoorkeur,TV,Vaak,1.61,6.11
PvdA & Lilianne Ploumen,Zwevend,Krant,Nauwelijks,1.18,5.64
PvdA & Lilianne Ploumen,Zwevend,Krant,Regelmatig,1.35,5.81
PvdA & Lilianne Ploumen,Zwevend,Krant,Vaak,1.48,5.97
